RUTA_RELATIVA,TIPO,TAMAÑO_BYTES,FECHA_MOD,CARPETA_CATEGORIA,CATEGORÍA,PRIORIDAD,ESTADO_ESTIMADO
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/roles.txt",txt,556,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/role_permissions.txt",txt,574,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/role_scopes.txt",txt,398,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/user_accounts.txt",txt,1200,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/user_branches.txt",txt,614,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/user_establishments.txt",txt,693,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/user_roles.txt",txt,645,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC)/user_sessions.txt",txt,515,2026-06-01,Knowledge/Books/Base_Iincial_GYPPORT/9. Security (RBAC),"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/1 ERD-01 Núcleo — Negocio GYPPORT  tenants/tenants.txt",txt,1067,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/1 ERD-01 Núcleo — Negocio GYPPORT  tenants,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/1 ERD-01 Núcleo — Negocio GYPPORT  tenants/tenant_settings.txt",txt,1048,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/1 ERD-01 Núcleo — Negocio GYPPORT  tenants,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización/organizations.txt",txt,1122,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización/organization_settings.txt",txt,884,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización/organization_tax_profiles.txt",txt,1853,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/2 ERD-05 Organización,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador/document_sequences.txt",txt,0,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador/emission_points.txt",txt,657,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador/sri_establishments.txt",txt,1026,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Core Businees Dev V3/3 ERD-06 SRI Ecuador,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/GYPPORT®.txt",txt,1282,2026-07-25,Knowledge/Books/Base_Iincial_GYPPORT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/01 Global Master Tablas.docx",docx,15217,2026-06-07,Knowledge/Books/Base_Iincial_GYPPORT/Master data base,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS/organizations.txt",txt,1264,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS/organization_settings.txt",txt,758,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS/organization_tax_profiles.txt",txt,1381,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/07 ORGANIZATIONS,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR/document_sequences.txt",txt,1310,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR/emission_points.txt",txt,737,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR/sri_establishments.txt",txt,1369,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/08 SRI ECUADOR,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/branches.txt",txt,2290,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/branch_addresses.txt",txt,1518,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/branch_contacts.txt",txt,1347,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/branch_cost_centers.txt",txt,0,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/branch_departments.txt",txt,1412,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/cost_centers.txt",txt,1925,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch/departments.txt",txt,1856,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/09 Branch,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE/employees.txt",txt,2600,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE/employee_branches.txt",txt,1594,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE/employee_cost_centers.txt",txt,1576,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE/employee_departments.txt",txt,1527,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE/employee_positions.txt",txt,1484,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/10 EMPLOYEE,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/permissions.txt",txt,866,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/roles.txt",txt,1060,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/role_permissions.txt",txt,961,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/role_scopes.txt",txt,1132,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/user_accounts.txt",txt,1791,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/user_branches.txt",txt,1055,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/user_establishments.txt",txt,1149,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/user_roles.txt",txt,1025,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC/user_sessions.txt",txt,1167,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/11 SECURITY  RBAC,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT/audit_action_types.txt",txt,693,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT/audit_logs.txt",txt,1675,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT/security_logs.txt",txt,1377,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/12 AUDIT,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/Arquitectura GYPPORT Business Catalogos.pdf",pdf,118999,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/Arquitectura GYPPORT Business Validar Catalogos Completos.pdf",pdf,72712,2026-06-07,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/Arquitectura GYPPORT Business Validar Catalogos.pdf",pdf,68884,2026-06-07,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/catalog_groups.txt",txt,2647,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/countries.txt",txt,817,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/Division Policita Edcuador.xlsx",xlsx,73404,2026-06-12,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos/geo_types.txt",txt,602,2026-06-06,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Catalogos,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP00.pdf",pdf,119377,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP01.pdf",pdf,118770,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP01.txt",txt,396,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP02.pdf",pdf,84658,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP03.pdf",pdf,105214,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
"Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master/Base de Clientes ERP03.txt",txt,245,2026-06-05,Knowledge/Books/Base_Iincial_GYPPORT/Master data base/Logica Base Master,"Base Inicial GYPPORT",CRÍTICA,vigente
