doc_id,lote,tipo_registro,archivo,titulo,autor,edicion,idioma,paginas,bytes,sha256,dominio,integridad,completitud,calidad_documental,nota_calidad,texto_muestra_caracteres
DOC-000011,LOT-PRE-0001,source,Dump20260716(1).sql,Dump20260716,GYPPORT® / exportación técnica,No indicada,ES,N/A,308572,7e32a43e068cfc779c0d6687cb1cd54af87cfeb097318b6b1d8c879c1d57adab,Base de datos y sistemas distribuidos,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,Archivo de texto íntegro y extraíble.,298898
DOC-000012,LOT-0001,source,07-guia-de-datos-y-gobernanza-de-datos.pdf,07-guia-de-datos-y-gobernanza-de-datos,No identificado,No indicada,ES,79,1370539,78d6423a7a0839a4ac7b09b1e5a4bfc89e4c91c3da6c811ab99efb86324e9b57,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,MEDIA,PDF íntegro; metadatos incompletos o texto parcialmente extraíble.,20116
DOC-000013,LOT-0001,source,100 Things Every Designer Needs to Know about People What Makes Them Tick (Susan Weinschenk).pdf,100 Things Every Designer Needs to Know about People What Makes Them Tick (Susan Weinschenk),Susan Weinschenk,No indicada,EN,257,8554829,74ee12647e3bc7722a9686279a34ad1104ef0cfb5f4a5f4c03193256ed0656a7,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7840
DOC-000014,LOT-0001,source,1634128131.pdf,Memento Práctico Contable 2022 (fragmento de 11 páginas),Francis Lefebvre (obra colectiva),Edición 2022; fecha editorial 2021-09-24,ES,11,181484,5447d07b8cfa90271c98768b61fdd963eb921a840209012b7e7c624334112dea,Contabilidad y tributación,OK,FRAGMENTO_DECLARADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",30006
DOC-000015,LOT-0001,source,2023.10_CECA_MAGAN_Abogados_Guia_Gobernanza_Datos_vfinal.pdf,2023.10_CECA_MAGAN_Abogados_Guia_Gobernanza_Datos,CECA MAGAN Abogados,No indicada,ES,14,783095,6ab0b21867c574b7a8fba3f8b00ee4473d88f933888909759c188d4f030314ad,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",13877
DOC-000016,LOT-0001,source,780262773-Design-Elements-Third-Edition-by-Timothy-Samara.pdf,Understanding the rules and knowing when to break them--A Visual Communication Manual,Timothy Samara,No indicada,EN,1235,69844871,73d08a1d8507ca8c05484436011a72330975409fd0ad164ac7d9965889c7d7af,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8982
DOC-000017,LOT-0001,source,Chiavenato Idalverto. Introducción a la teoría general de la Administración.pdf,"Introducción a la teoría general de la administración, 7ma Edición",Idalberto Chiavenato,No indicada,ES,589,49906601,815b96b7965aee5d117d5aea6b90dc589cbbd1172c95616975939d35a0c9797e,ERP y procesos empresariales,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7682
DOC-000018,LOT-0001,source,Codigo limpio - Robert Cecil Martin(1).pdf,Código limpio,Robert Cecil Martin,No indicada,ES,644,4522452,92876e0f2bc22b150756f0845f9945fd3291df3067791627d0392bc34603e67d,Ingeniería de software y arquitectura,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8952
DOC-000019,LOT-0001,source,Color Theory (Dan Scott).pdf,Color Theory (Dan Scott),Dan Scott,No indicada,EN,11,2293040,fb22c81bcba8d63bd870a496249b9721da723d3ad3dc7e4afcfcffc5e3d03e2c,UI/UX y Design System,"OK:Internal Error: xref num 3 not found but needed, try to reconstruct",SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",5090
DOC-000020,LOT-0001,source,Color Vision and Colorimetry Theory and Applications (Daniel Malacara).pdf,"Color Vision and Colorimetry: Theory and Applications, 2nd Edition","Malacara, Daniel",2nd Edition,EN,188,14246297,8dc5af4c35b10e9fdfdb961fa0f03802aaf003b481aae17f7233f40fa85ff004,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",13228
DOC-000021,LOT-0001,source,"Color Works Best Practices for Graphic Designers An Essential Guide to Understanding and Applying Color Design Principles (Eddie Opara, John Cantwell).pdf","Best Practices for Graphic Designers, Color Works","Opara, Eddie,Cantwell, John",No indicada,EN,194,9694908,4336fbcf840ef1d9ec6d7afe1ab7ad1ffaca3817a411f6f7dd37f24c2f135c6e,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",9791
DOC-000022,LOT-0001,source,"Colour Perception Mind and the Physical World (Rainer Mausfeld, Dieter Heyer).pdf","Colour Perception Mind and the Physical World (Rainer Mausfeld, Dieter Heyer)","Rainer Mausfeld, Dieter Heyer",No indicada,EN,546,5614023,a41b2c87850b476470f56e7ca16c378d6d8904aae591338a78050a54114e64d8,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",20281
DOC-000023,LOT-0001,source,Contabilidad-Financiera-Intermedia-final---2023.pdf,Contabilidad-Financiera-Intermedia-final---2023,No identificado,No indicada,ES,482,6111610,051cfd2f449f03cd5f098f493e941a2d647710b50fd42f6bcfe7e11370fa12aa,Contabilidad y tributación,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,MEDIA,PDF íntegro; metadatos incompletos o texto parcialmente extraíble.,24850
DOC-000024,LOT-0001,source,Contemporary Color Theory and Use (Steven Bleicher).pdf,Contemporary Color Theory and Use (Steven Bleicher),Steven Bleicher,No indicada,EN,238,13969690,1be9a8f455dea567decbb00ea3813159be21a614cd88ebde6a0c616dcb57770c,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",17115
DOC-000025,LOT-0001,source,CpituloGobernanzadelosdatos.pdf,CpituloGobernanzadelosdatos,Fernando Jose Villatoro Hernandez,No indicada,ES,9,199214,74e61250e8eca0a656a28b8c8b9373a2482b76759734044b8a37a397453dd17c,Arquitectura empresarial y gobernanza,OK,FRAGMENTO_DECLARADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",27056
DOC-000026,LOT-0001,source,"Design Elements A Graphic Style Manual Understanding the Rules and Knowing When to Break Them, 2nd Edition (Timothy Samara).pdf","Design Elements A Graphic Style Manual Understanding the Rules and Knowing When to Break Them, 2nd Edition (Timothy Samara)",Timothy Samara,2nd Edition,EN,322,102399610,9f2c0483d65edc4dbfeb969a748575079cddfd3e234721507d542562f59a3c0d,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8713
DOC-000027,LOT-0001,source,Design Evolution. Handbook of Basic Design Principles Applied in Contemporary Design (Timothy Samara).pdf,Design Evolution,Tim Samara,No indicada,EN,274,77485882,62cd64f2e11f2a4a6ff8149b9ef565edbcc9f79ce9202927f365e57c475a8879,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",11877
DOC-000028,LOT-0001,source,Design Patterns Elements of Reusable Object-Oriented Software(1).pdf,Design Patterns Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard Helm",No indicada,EN,417,19196026,d5315985d958dfa74e5cca10c3f640d9246e4ef06e0eb8981f52fe9672dfa75c,Ingeniería de software y arquitectura,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",12028
DOC-000029,LOT-0001,source,"Design Systems Handbook (Marco Suarez, Jina Anne, Katie Sylor-Miller etc.).pdf","Design Systems Handbook (Marco Suarez, Jina Anne, Katie Sylor-Miller etc.)","Marco Suarez, Jina Anne, Katie Sylor-Miller etc.",No indicada,EN,222,3518953,3591693d0b2f0915e2bf210ae5e9649f4bbee33dc00cc37e49d783068a8b23a0,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6323
DOC-000030,LOT-0001,source,Design by Nature Using Universal Forms and Principles in Design (Maggie Macnab).pdf,Design by Nature: Using Universal Forms and Principles in design,Maggie Macnab,No indicada,EN,313,22453485,bcda3ed28d1a6870f4800078fe13ae7694273c2ed855ef6ceecdad31ddbd79de,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8358
DOC-000031,LOT-0001,source,"Design for Developers (Adrian Twarog, George Moller).pdf","Design for Developers (Adrian Twarog, George Moller)","Adrian Twarog, George Moller",No indicada,EN,220,9569925,013ce37ca0088cf47843eccf624cd101e7d2bab8e2bdbe03fcd44c0c2d8c226c,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6989
DOC-000032,LOT-0001,source,Design for how People Think (John Whalen).pdf,Design for How People Think,John Whalen Ph.D.,No indicada,EN,238,17387337,e35dd77c2839d58ec21411e4701fe0ca63a16aa548cd28d1cbc7aefac329e17c,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",12915
DOC-000033,LOT-0001,source,"Design of Future Things, The Norman, Donald (Norman, Donald A)(1).pdf",The Design of Future Things,Don Norman,No indicada,EN,241,1582584,715bc6e1af75450c46d1a86ff8fd3429378dabd5265c55af87aa4f7326a03cab,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6576
DOC-000034,LOT-0001,source,"Design of Future Things, The Norman, Donald (Norman, Donald A).pdf",The Design of Future Things,Don Norman,No indicada,EN,241,1582584,715bc6e1af75450c46d1a86ff8fd3429378dabd5265c55af87aa4f7326a03cab,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6576
DOC-000035,LOT-0001,source,"DesignOps Handbook (Kate Battles, Meredith Black, Dave Malouf etc.).pdf","DesignOps Handbook (Kate Battles, Meredith Black, Dave Malouf etc.)","Kate Battles, Meredith Black, Dave Malouf etc.",No indicada,EN,119,1367160,884920da63eed12e315de364999f44e5f45d1abe14518b5008fc3c648f8bc117,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",5635
DOC-000036,LOT-0001,source,"Designing Interfaces Patterns for Effective Interaction Design (Tidwell, Jenifer, Brewer, Charles, Valencia etc.).pdf","Designing Interfaces Patterns for Effective Interaction Design (Tidwell, Jenifer, Brewer, Charles, Valencia etc.)","Tidwell, Jenifer, Brewer, Charles, Valencia etc.",No indicada,EN,602,30933946,bb23c6334528c768b60c87549f2f73a6823d91d5330a27405972943f6b6bdd1a,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8255
DOC-000037,LOT-0001,source,Designing UX Forms Create Forms That Don’t Drive Your Users Crazy (Jessica Enders).pdf,Designing UX: Forms,Jessica Enders,No indicada,EN,275,11681495,bf1b1f8f60b63cd52184266b2deffa3b3ce5e4f55d432ac1a0061ebf90c3624f,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",14891
DOC-000038,LOT-0001,source,"Designing UX Prototyping (Ben Coleman, Dan Goodwin).pdf",Designing UX: Prototyping,"Ben Coleman, Dan Goodwin",No indicada,EN,214,14851024,1facf7bcb059107318b9416ab870be2125ab1ba511b9a0a614fc6f0543c924a1,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",15637
DOC-000039,LOT-0001,source,"Designing User Interfaces (Michał Malewicz, Diana Malewicz)(1).pdf","Designing User Interfaces (Michał Malewicz, Diana Malewicz)","Michał Malewicz, Diana Malewicz",No indicada,EN,470,84975881,5c5ec05e20c860cbd2231acc5f217e8049a794125ddedc87f35ca055d0d783cb,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",5645
DOC-000040,LOT-0001,source,"Designing User Interfaces (Michał Malewicz, Diana Malewicz).pdf","Designing User Interfaces (Michał Malewicz, Diana Malewicz)","Michał Malewicz, Diana Malewicz",No indicada,EN,470,84975881,5c5ec05e20c860cbd2231acc5f217e8049a794125ddedc87f35ca055d0d783cb,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",5645
DOC-000041,LOT-0001,source,"Designing User Interfaces Exploring User Interfaces, UI Elements, Design Prototypes and the Figma UI Design Tool (English... (Dario Calonaci).pdf",517014077,Dario Calonaci,No indicada,EN,493,5195303,3a13ac5f8bdbf8ec75750e9914bbf04f244576c64df9f34b4920799a512e7608,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6009
DOC-000042,LOT-0001,source,Designing and Prototyping Interfaces with Figma Learn essential UXUI design principles by creating interactive prototypes for… (Fabio Staiano).pdf,"F. Staiano - Designing and Prototyping Interfaces with Figma. Learn essential UX-UI design principles by creating interactive prototypes for mobile, tablet, and desktop (2022)[EN]",Fabio Staiano,No indicada,EN,382,8753088,1fff794a807bff364c321c761acb8b6d965813672153c467be337ba6cd1aa499,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8515
DOC-000043,LOT-0001,source,Designing in Figma (Eugene Fedorenko).pdf,Designing in Figma,Eugene Fedorenko,No indicada,EN,152,16088509,4f30c557d4de3b9ca7fee4867767ee860110b6d1ee9978f7b9cd20020278edfe,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6254
DOC-000044,LOT-0001,source,Designing_with_the_Mind_in_Mind_Simple_G.pdf,Designing with the Mind in Mind Simple G,Jeff Johnson,No indicada,EN,188,6513986,9556ba5e35bf5be3b42ee109153cd67bd3ea07f122c91d1118488d336c291c54,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",16504
DOC-000045,LOT-0001,source,Dialnet-IntroduccionALaInformacionContableEstimacionYAplic-657753.pdf,ACCOUNTING INFORMATION FOR DECISION MAKING,Dr. Jumah,No indicada,ES,146,1460786,dc5ade4fc65dce879be7eebdbeb6aae6233ec557d13aba060fbc6b2f075c8b1c,Contabilidad y tributación,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",14923
DOC-000046,LOT-0001,source,"Dont Make Me Think, Revisited A Common Sense Approach to Web Usability 3rd Edition (Steve Krug).pdf","Don't Make Me Think, Revisited",Steve Krug,3rd Edition,EN,214,8908982,46892f28cfecb4dd285c137d324a8d580d57a0c08ed70638ada7eedde21055d4,UI/UX y Design System,OK:Syntax Error (544215): Dictionary key must be a name object Syntax Error (544348): Dictionary key must be a name object Syntax Error (544215): Dictionary key must be a name object ,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",8205
DOC-000047,LOT-0001,source,"Effective UI The Art of Building Great User Experience in Software (Jonathan Anderson, John McRee, Robb Wilson)(1).pdf","Effective UI The Art of Building Great User Experience in Software (Jonathan Anderson, John McRee, Robb Wilson)","Jonathan Anderson, John McRee, Robb Wilson",No indicada,EN,314,6392529,d5d2e653eafe21479fa8036edb352ba4913530662a82fc88755715782fdc0e4a,Ingeniería de software y arquitectura,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6555
DOC-000048,LOT-0001,source,"Effective UI The Art of Building Great User Experience in Software (Jonathan Anderson, John McRee, Robb Wilson).pdf","Effective UI The Art of Building Great User Experience in Software (Jonathan Anderson, John McRee, Robb Wilson)","Jonathan Anderson, John McRee, Robb Wilson",No indicada,EN,314,6392529,d5d2e653eafe21479fa8036edb352ba4913530662a82fc88755715782fdc0e4a,Ingeniería de software y arquitectura,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6555
DOC-000049,LOT-0001,source,El-Ejecutivo-Eficaz-en-Accion.pdf,escaneo ejecutivo eficaz en accion,Administrador,No indicada,N/D,210,13883764,8598a80bb80607460450ea6dcbd7c7343de5ca4b24fe9e0f46099c3e9b4ddde3,ERP y procesos empresariales,OK,VISUAL_O_SIN_OCR,BAJA,"PDF íntegro, pero visual/escaneado o sin OCR suficiente para extracción automática.",0
DOC-000050,LOT-0001,source,Emotional Design Why We Love (Or Hate) Everyday Things (Donald A. Norman)(1).pdf,100778.pdf,Donald A. Norman,No indicada,EN,268,14455952,bc3fa48888753f7b33ddba4ab5a0fb624508e627f8f35700c9244b57714c52be,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",2380
DOC-000051,LOT-0001,source,Emotional Design Why We Love (Or Hate) Everyday Things (Donald A. Norman).pdf,100778.pdf,Donald A. Norman,No indicada,EN,268,14455952,bc3fa48888753f7b33ddba4ab5a0fb624508e627f8f35700c9244b57714c52be,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",2380
DOC-000052,LOT-0001,source,FICHA TECNICA COMPROBANTES ELECTRO_NICOS offline.pdf,"Instructiv de Procedimiento de Comprobantes de Venta, Retención y Documentos Complementarios",Andrés F. Ortiz Ch.,No indicada,ES,99,3506565,d35f551121d240c6477eb2ef4e66f228c94eb99365324148a42a18e81c06f861,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",23215
DOC-000053,LOT-0001,source,FICHA TE_CNICA COMPROBANTES ELECTRO_NICOS ESQUEMA OFFLINE Versio_n 233.pdf,FICHA TE CNICA COMPROBANTES ELECTRO NICOS ESQUEMA OFFLINE Versio n 233,davr050406,No indicada,ES,140,3766470,c839adb17844a971cc09f4ac245d4ee96d9758221155c105c56ca65b88f1b251,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",25136
DOC-000054,LOT-0001,source,Fixing Bad UX Designs (Lisandra Maioli).pdf,Fixing Bad UX Designs,Lisandra Maioli,No indicada,EN,342,49240157,7c3d5a3915117f5892165a3373e014bd60aeb735970efbd799b109c16b8649f9,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",9519
DOC-000055,LOT-0001,source,Graphic Design Rules (Stefan G. Bucher).pdf,Graphic Design Rules,Stefan G. Bucher,No indicada,EN,524,33619687,e939501b8302cf32204074332168e3e7ead0ada12122a368e3f17b111bf857d8,UI/UX y Design System,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7541
DOC-000056,LOT-0001,source,Guia para contribuyentes de anulación de comprobantes electrónicos.pdf,Guia para contribuyentes de anulación de comprobantes electrónicos,"Molina Pazmiño, Mercedes Patricia",No indicada,ES,19,1645584,7a99c0267e2bc70b8e3e668d42d9bf15fff4a5d985520be040d0b6210ee8b25b,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",9364
DOC-000057,LOT-0001,source,Guia para contribuyentes factura comercial negociable.pdf,Guia para contribuyentes factura comercial negociable,"Molina Pazmiño, Mercedes Patricia",No indicada,ES,25,1455708,6c5a15d30d4e07eb75dd9fcd6b3195fb49b50fbe3c374c1b867aeaf55895d9f5,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7454
DOC-000058,LOT-0001,source,Guía comprobantes electrónicos  - Internet.pdf,Guía comprobantes electrónicos - Internet,"Molina Pazmiño, Mercedes Patricia",No indicada,ES,17,1168181,c28bfd6eb22ffc0ca29131eca87976ad2d98f959c79c702676b2f9a79a80dc6c,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",6013
DOC-000059,LOT-0001,source,Guía para emisión de comprobantes electrónicos.pdf,Guía para emisión de comprobantes electrónicos,davr050406,No indicada,ES,11,1614879,7d5607fb25c35695c87c9b531dba7fe4622dfd87355ff2e9c7c6d3c00eef73af,Normativa oficial de Ecuador y SRI,OK,SIN_TRUNCAMIENTO_ESTRUCTURAL_DETECTADO,ALTA,"PDF íntegro, texto extraíble y metadatos bibliográficos útiles.",7751
